I lost.|I lose.
I tried.|I try.
We lost.|We lose.
Get lost!|Get lose!
I am fat.|I be fat.
I did OK.|I do OK.
I did it.|I do it.
I got it.|I get it.
I phoned.|I phone.
I'm done.|I'm do.
She came.|She come.
She died.|She die.
Tom came.|Tom come.
Tom died.|Tom die.
Tom lost.|Tom lose.
Who died?|Who die?
Be seated.|Be seat.
He is ill.|He be ill.
He is old.|He be old.
Here I am.|Here I be.
I am busy.|I be busy.
I am calm.|I be calm.
I am cold.|I be cold.
I am good.|I be good.
I am here.|I be here.
I am lazy.|I be lazy.
I am okay.|I be okay.
I am sick.|I be sick.
I am sure.|I be sure.
I am weak.|I be weak.
I got hot.|I get hot.
I had fun.|I have fun.
I lost it.|I lose it.
I noticed.|I notice.
I said no.|I say no.
I said so.|I say so.
I was new.|I be new.
I'm armed.|I'm arm.
I'm cured.|I'm cure.
I'm dying.|I'm die.
I'm going.|I'm go.
I'm lying.|I'm lie.
I'm tired.|I'm tire.
I've lost.|I've lose.
It failed.|It fail.
It snowed.|It snow.
It worked.|It work.
It's done.|It's do.
It's lost.|It's lose.
She cried.|She cry.
She tried.|She try.
They lied.|They lie.
They lost.|They lose.
We agreed.|We agree.
We did it!|We do it!
We did it.|We do it.
We talked.|We talk.
We waited.|We wait.
Well done!|Well do!
Who is he?|Who be he?
Who is it?|Who be it?
You tried.|You try.
Am I dying?|Am I die?
Am I fired?|Am I fire?
Am I hired?|Am I hire?
He gave in.|He give in.
He is a DJ.|He be a DJ.
He is busy.|He be busy.
He is here!|He be here!
He is kind.|He be kind.
He is late.|He be late.
He is lazy.|He be lazy.
He is poor.|He be poor.
He is sick.|He be sick.
He made it.|He make it.
Here he is!|Here he be!
Here it is.|Here it be.
I am a man.|I be a man.
I am human.|I be human.
I am ready.|I be ready.
I am right.|I be right.
I am sorry.|I be sorry.
I am tired.|I be tired.
I did that.|I do that.
I fixed it.|I fix it.
I got busy.|I get busy.
I got lost.|I get lost.
I got sick.|I get sick.
I had help.|I have help.
I liked it.|I like it.
I loved it.|I love it.
I made tea.|I make tea.
I made two.|I make two.
I promised.|I promise.
I said yes.|I say yes.
I screamed.|I scream.
I survived.|I survive.
I tried it.|I try it.
I was away.|I be away.
I was busy.|I be busy.
I was good.|I be good.
I was late.|I be late.
I was lost.|I be lost.
I was sick.|I be sick.
I wrote it.|I write it.
I'm eating.|I'm eat.
I'm loaded.|I'm load.
I'm losing.|I'm lose.
I'm moving.|I'm move.
I'm paying.|I'm pay.
I'm rested.|I'm rest.
I'm ruined.|I'm ruin.
I'm wasted.|I'm waste.
I've tried.|I've try.
Is it done?|Is it do?
It is cold.|It be cold.
It went OK.|It go OK.
Mama cried.|Mama cry.
No kidding?|No kid?
She is old.|She be old.
She smiled.|She smile.
Stop lying.|Stop lie.
They voted.|They vote.
This is it.|The be it.
Time is up.|Time be up.
Tom helped.|Tom help.
Tom looked.|Tom look.
Tom nodded.|Tom nod.
Tom sighed.|Tom sigh.
Tom yawned.|Tom yawn.
Tom's died.|Tom's die.
We are men.|We be men.
We made it.|We make it.
We're done.|We're do.
We're lost.|We're lose.
What is it?|What be it?
Where am I?|Where be I?
Who are we?|Who be we?
Who did it?|Who do it?
Who talked?|Who talk?
Who yelled?|Who yell?
You did it!|You do it!
All is well.|All be well.
Are we done?|Are we do?
Are we lost?|Are we lose?
He chuckled.|He chuckle.
He got away.|He get away.
He grew old.|He grow old.
He has come!|He have come!
He has guts.|He have guts.
He has wine.|He have wine.
He is drunk.|He be drunk.
He is eight.|He be eight.
He is hated.|He be hated.
He is nasty.|He be nasty.
He is smart.|He be smart.
He is young.|He be young.
He resigned.|He resign.
He squinted.|He squint.
He was busy.|He be busy.
He's coming.|He's come.
He's crying.|He's cry.
He's faking.|He's fake.
He's loaded.|He's load.
Here she is!|Here she be!
Here we are!|Here we be!
Here we are.|Here we be.
How are you?|How be you?
How is life?|How be life?
I also went.|I also go.
I am French.|I be French.
I am Korean.|I be Korean.
I am a cook.|I be a cook.
