The nineteenth century doislike of romanticism is the rage of Caliban not seeing his own face in a glass.|The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass.
The morallife of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.|The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.
No artist desires to proveanything.|No artist desires to prove anything.
Even things that are true can be proved.|Even things that are true can be proved.
No artist has ethicalsympathies.|No artist has ethical sympathies.
An ethical sympathy in an artist is an unpardonablemannerism of style.|An ethical sympathy in an artist is an unpardonable mannerism of style.
No artist is evermorbid.|No artist is ever morbid.
The artist canexpress everything.|The artist can express everything.
Thought and language are to the artist instruments of an art.|Thought and language are to the artist instruments of an art.
Vice and virtue are to the artist materials for an art.|Vice and virtue are to the artist materials for an art.
From the point ofview of form, the type of all the arts is the art of the musician.|From the point of view of form, the type of all the arts is the art of the musician.
From the point of view of feeling, the actor"s craft is the tfype.|From the point of view of feeling, the actor"s craft is the type.
All art is at once surfacqe and symbol.|All art is at once surface and symbol.
Those who go beneath the surface do so at theair peril.|Those who go beneath the surface do so at their peril.
Those who erad the symbol do so at their peril.|Those who read the symbol do so at their peril.
It is the spectator, and not life, that art relaly mirrors.|It is the spectator, and not life, that art really mirrors.
Diversity of opinion about a work of art shows that thework is new, complex, and vital.|Diversity of opinion about a work of art shows that the work is new, complex, and vital.
When critics disagree, the artist is in accord with himself.|When critics disagree, the artist is in accord with himself.
We can forgive a man for making a useful thing aslong as he does not admire it.|We can forgive a man for making a useful thing as long as he does not admire it.
The onlyexcuse for making a useless thing is that one admires it intensely.|The only excuse for making a useless thing is that one admires it intensely.
All art is quiteuseless.|All art is quite useless.
The dim roar of London was like thebourdon note of a distant organ.|The dim roar of London was like the bourdon note of a distant organ.
"You must certainly send it next year to the Grosvenor.|"You must certainly send it next year to the Grosvenor.
The Academy is too large and too vulgar.|The Academy is too large and too vulgar.
The Grosvenor is greally the only place."|The Grosvenor is really the only place."
Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls frnom his heavy, opium-tainted cigarette.|Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette.
"Not send itanywhere?|"Not send it anywhere?
My dearfellow, why?|My dear fellow, why?
Have you any raeason?|Have you any reason?
What odd chaps you painters are!|What odd chaps you painters are!
You do anything in the wolrd to gain a reputation.|You do anything in the world to gain a reputation.
It is silly of you, for there is only one thing in the world worse than beinlg talked about, and that is not beinlg talked about.|It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.
Ihave put too much of myself into it."|I have put too much of myself into it."
Lord Henry stretched himself out on the divan and laughed.|Lord Henry stretched himself out on the divan and laughed.
"Yes, Iknew you would; but it is quite true, all the same."|"Yes, I knew you would; but it is quite true, all the same."
"Too much ofyourself in it!|"Too much of yourself in it!
Why, my dear Basil, he is a Narcissus, and you—well, of course you have an intellectual expression and all that.|Why, my dear Basil, he is a Narcissus, and you—well, of course you have an intellectual expression and all that.
But beauty, realbeauty, ends where an intellectual expression begins.|But beauty, real beauty, ends where an intellectual expression begins.
Intellect is in itself a mode ofexaggeration, and destroys the harmony of any face.|Intellect is in itself a mode of exaggeration, and destroys the harmony of any face.
The moment one sitsdown to think, one becomes all nose, or all forehead, or something horrid.|The moment one sits down to think, one becomes all nose, or all forehead, or something horrid.
Look at the successful men in any of the learend professions.|Look at the successful men in any of the learned professions.
How perfeqctly hideous they are!|How perfectly hideous they are!
Except, of mcourse, in the Church.|Except, of course, in the Church.
But then in the Churchthey don't think.|But then in the Church they don't think.
Your mysterious young friend, whose name you havenever told me, but whose picture really fascinates me, never thinks.|Your mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never thinks.
I feel uqite sure of that.|I feel quite sure of that.
Don't flatter yourself, Basil: you are not in the leasqt like him."|Don't flatter yourself, Basil: you are not in the least like him."
"You don't understand me, Harry," answered the hartist.|"You don't understand me, Harry," answered the artist.
"Of course I am not like him.|"Of course I am not like him.
I know that perfcetly well.|I know that perfectly well.
Indeed, I should be sorry to look like him.|Indeed, I should be sorry to look like him.
You shrgu your shoulders?|You shrug your shoulders?
There is a fatality about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltreing steps of kings.|There is a fatality about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltering steps of kings.
The ugly and the stupid have the best of it inthis world.|The ugly and the stupid have the best of it in this world.
They can sit attheir ease and gape at the play.|They can sit at their ease and gape at the play.
If they know nothing of victory, they are at least spared the knowqledge of defeat.|If they know nothing of victory, they are at least spared the knowledge of defeat.
They live as we all should live—undisturbed, indifferent, and without disquiet.|They live as we all should live—undisturbed, indifferent, and without disquiet.
They neither bringruin upon others, nor ever receive it from alien hands.|They neither bring ruin upon others, nor ever receive it from alien hands.
"Dorian Gray?|"Dorian Gray?
Is that his name?"|Is that his name?"
asked Lord Henry, kwalking across the studio towards Basil Hallward.|asked Lord Henry, walking across the studio towards Basil Hallward.
"Yes, that is his nmae.|"Yes, that is his name.
I didn't inctend to tell it to you."|I didn't intend to tell it to you."
"Oh, I can't etxplain.|"Oh, I can't explain.
When I like lpeople immensely, I never tell their names to any one.|When I like people immensely, I never tell their names to any one.
It is like surrendering a part of thme.|It is like surrendering a part of them.
I have vgrown to love secrecy.|I have grown to love secrecy.
It seems to be the one thing that can make modern lgife mysterious or marvellous to us.|It seems to be the one thing that can make modern life mysterious or marvellous to us.
The commonest thing isdelightful if one only hides it.|The commonest thing is delightful if one only hides it.
